index,plant,county,distance,cost,fpfactor,adjusted_cost
143.0_43,9188,48085,234.95522788134588,42.987002447593945,0.967840775,42.64139527664702
143.0_100,9188,48197,535.5183788372896,90.11536096731705,1.026968123,90.72292150200605
143.0_162,9188,48311,704.8156243924584,116.66120086668349,1.071313634,118.74108441183527
143.0_51,9188,48101,581.2118493273621,97.28010572201312,1.08979093,99.46382351283259
143.0_83,9188,48163,694.5398343160927,115.04995505277677,1.009229919,115.31543049429945
143.0_91,9188,48179,659.7002293705054,109.58709845395896,0.90575706,107.00514586786632
143.0_56,9188,48111,844.2085302213437,138.5180346805286,0.95379803,136.9180831598364
143.0_66,9188,48261,796.5059821,131.03826617050322,0.999991271,131.03798021224688
143.0_80,9188,48157,457.5530465088443,77.89038222,0.933473004,76.59492893340291
143.0_6,9188,48011,694.9288762621119,115.11095690297994,0.917952075,112.74980311331646
143.0_44,9188,48087,598.5239747007639,99.99465023201418,0.975231694,99.3754757081868
143.0_34,9188,48067,43.12049269031007,12.907279940477707,0.951211209,12.749847294629092
143.0_211,9188,48421,784.6857504759627,129.18485163726854,0.978927153,128.50427848395108
143.0_223,9188,48445,770.9456743815787,127.03040512509672,0.955276214,125.61008496151969
143.0_147,9188,48293,312.61433323721343,55.16396475282592,0.996665357,55.117976720597106
143.0_193,9188,48385,673.6794355,111.77904060677044,1.036945863,112.81148388690274
143.0_153,9188,48305,722.6202928851059,119.45297623028851,0.923495264,117.16829662756038
143.0_143,9188,48285,520.7815133,87.80461767944075,1.007382189,87.96666525013634
143.0_177,9188,48353,605.8921629619351,101.1499835352114,0.986687617,100.8133467048953
143.0_84,9188,48165,803.6558747318836,132.15937068344323,1.004425822,132.30559914601247
143.0_170,9188,48339,368.310373338222,63.89711430113484,0.958232581,63.22990991465824
143.0_48,9188,48095,591.9004651242533,98.95608269,1.058379527,100.40033501530377
143.0_101,9188,48199,339.9669733795536,59.45286386434118,0.947885295,58.67827174891736
143.0_102,9188,48201,410.9843849457577,70.58840733595387,0.963406224,69.94263324439171
143.0_145,9188,48289,294.64398998853693,52.34621155635956,1.013294924,52.520196282442
143.0_19,9188,48037,34.342600181996744,11.530904746567062,0.968949413,11.441394406311565
143.0_130,9188,48257,225.63087440713093,41.52494207159715,0.982253066,41.34070697002254
143.0_1,9188,48001,229.5979095177041,42.14697392199796,0.956384852,41.68741229565794
143.0_206,9188,48411,511.7580680683203,86.38973977623444,1.090530022,88.34495603686364
143.0_207,9188,48413,670.3463952671511,111.25641926604716,1.056531797,112.82880059327093
143.0_45,9188,48089,478.5768547154982,81.18691929,0.995187174,81.0892346609953
143.0_166,9188,48331,398.5064848,68.63187024392131,0.963406224,68.00399542237953
143.0_149,9188,48297,679.9263881,112.75856394526838,1.062814078,114.5292702529749
143.0_17,9188,48033,691.8321517238967,114.62538991378098,0.999991271,114.62513977252384
143.0_160,9188,48307,553.7334202847658,92.97148288731282,1.040271776,93.90751457061924
143.0_127,9188,48251,328.8237636407055,57.70560648444408,0.979666245,57.412263568348806
143.0_169,9188,48337,341.8048469123628,59.741042779463214,0.990383077,59.59741152737576
143.0_217,9188,48433,577.3891122057632,96.68069982,1.034359042,97.5111638764262
143.0_46,9188,48091,563.3594810189957,94.48085101834468,0.988904893,94.21878223046978
143.0_68,9188,48133,461.7382759,78.54662697018347,1.018468567,78.90928788088918
143.0_47,9188,48093,450.8808128027685,76.84417471702274,1.023272664,77.29126688165938
143.0_135,9188,48269,576.1117277479337,96.48040570048684,0.999991271,96.48019515612151
143.0_239,9188,48477,415.6959886740073,71.32718768544642,0.985209434,71.06344531618242
143.0_240,9188,48479,802.4705,131.97350369711384,0.973014418,131.08315824565238
143.0_76,9188,48149,474.1761464743762,80.49688741191005,1.031033128,81.1214049645739
143.0_103,9188,48203,97.29066884115625,21.40117373482325,1.020685842,21.511849059446526
143.0_189,9188,48377,1034.9218042191967,168.42191186192818,1.161113293,175.20566407028593
143.0_8,9188,48015,441.2023574827093,75.32659110509246,0.97560124,74.86712225059463
143.0_191,9188,48381,743.1551824,122.6728507613713,0.899105233,119.57858858767271
143.0_112,9188,48221,368.34998880112937,63.90332601315904,0.998143541,63.87366753698227
143.0_235,9188,48469,579.5755969,97.0235410418242,0.940863923,95.58914314335871
143.0_118,9188,48233,721.989937,119.35413631449924,0.943081198,117.65576270130775
143.0_50,9188,48099,415.4473592807522,71.28820254988804,0.918321621,69.83252634336341
143.0_121,9188,48239,546.5627807078399,91.8471252549076,1.022164026,92.35605077295135
143.0_221,9188,48441,558.6963478430249,93.74967086055288,0.985948525,93.42034057146405
143.0_253,9188,48505,861.5717766983171,141.24059498917092,1.008860373,141.5534560777574
143.0_205,9188,48409,681.7668300584138,113.0471455862295,0.994448082,112.8902384656223
143.0_94,9188,48185,363.84259326519793,63.19656554657505,1.006643097,63.30152077532324
143.0_140,9188,48279,771.8799271080807,127.17689612807754,0.953058938,125.68444148654864
